code,label,bug_class,description
"def get_user_by_id(conn, user_id):
    """"""
    Retrieves a single user record from the 'users' table by their ID using a parameterized query.
    """"""
    cursor = conn.cursor()
    query = ""SELECT id, username, email FROM users WHERE id = ?""
    cursor.execute(query, (user_id,))
    user = cursor.fetchone()
    cursor.close()
    return user",0,clean,"Retrieves a single user's details by their ID, returning one row or None."
"def get_products_by_category(conn, category_name):
    """"""
    Fetches all products belonging to a specific category from the 'products' table using a parameterized query.
    """"""
    cursor = conn.cursor()
    query = ""SELECT id, name, description, price FROM products WHERE category = ?""
    cursor.execute(query, (category_name,))
    products = cursor.fetchall()
    cursor.close()
    return products",0,clean,Fetches a list of products that belong to a specified category.
"def add_new_product(conn, name, description, price, category):
    """"""
    Inserts a new product record into the 'products' table with multiple parameters.
    """"""
    cursor = conn.cursor()
    query = ""INSERT INTO products (name, description, price, category) VALUES (?, ?, ?, ?)""
    try:
        cursor.execute(query, (name, description, price, category))
        conn.commit()
        return cursor.lastrowid # Returns the ID of the newly inserted row
    except Exception as e:
        conn.rollback()
        # In a real app, log error more robustly
        return None
    finally:
        cursor.close()",0,clean,"Inserts a new product into the database, committing changes and returning the ID of the new row or None on failure."
"def update_user_email(conn, user_id, new_email):
    """"""
    Updates the email address for a specific user identified by their ID using a parameterized query.
    """"""
    cursor = conn.cursor()
    query = ""UPDATE users SET email = ? WHERE id = ?""
    try:
        cursor.execute(query, (new_email, user_id))
        conn.commit()
        return cursor.rowcount # Returns the number of rows affected
    except Exception as e:
        conn.rollback()
        # In a real app, log error more robustly
        return 0
    finally:
        cursor.close()",0,clean,"Updates a user's email address by their ID, committing changes and returning the count of affected rows."
"def delete_product_by_id(conn, product_id):
    """"""
    Deletes a product record from the 'products' table by its ID using a parameterized query.
    """"""
    cursor = conn.cursor()
    query = ""DELETE FROM products WHERE id = ?""
    try:
        cursor.execute(query, (product_id,))
        conn.commit()
        return cursor.rowcount > 0 # Returns True if a record was deleted, False otherwise
    except Exception as e:
        conn.rollback()
        # In a real app, log error more robustly
        return False
    finally:
        cursor.close()",0,clean,"Deletes a product record by its ID, returning True if successful or False if no record was deleted or an error occurred."
"def get_customer_orders_by_date_range(conn, customer_id, start_date, end_date):
    """"""
    Fetches all orders for a given customer within a specified date range using multiple parameters.
    """"""
    cursor = conn.cursor()
    query = """"""
        SELECT id, product_id, order_date, total_amount
        FROM orders
        WHERE customer_id = ? AND order_date BETWEEN ? AND ?
        ORDER BY order_date
    """"""
    cursor.execute(query, (customer_id, start_date, end_date))
    orders = cursor.fetchall()
    cursor.close()
    return orders",0,clean,Retrieves a list of orders for a specific customer within a given date range.
"def add_multiple_products_batch(conn, products_data):
    """"""
    Inserts multiple product records into the 'products' table in a single batch operation using executemany.
    products_data should be a list of tuples, e.g., [(name1, desc1, price1, cat1), ...]
    """"""
    cursor = conn.cursor()
    query = ""INSERT INTO products (name, description, price, category) VALUES (?, ?, ?, ?)""
    try:
        cursor.executemany(query, products_data)
        conn.commit()
        return cursor.rowcount # Returns the total number of rows inserted
    except Exception as e:
        conn.rollback()
        # In a real app, log error more robustly
        return 0
    finally:
        cursor.close()",0,clean,Inserts multiple product records efficiently in a batch operation using the `executemany` method.
"def update_product_stock(conn, product_id, new_stock_level):
    """"""
    Updates the stock level for a specific product identified by its ID using a parameterized query.
    """"""
    cursor = conn.cursor()
    query = ""UPDATE products SET stock_level = ? WHERE id = ?""
    try:
        cursor.execute(query, (new_stock_level, product_id))
        conn.commit()
        return cursor.rowcount # Returns the number of rows affected
    except Exception as e:
        conn.rollback()
        # In a real app, log error more robustly
        return 0
    finally:
        cursor.close()",0,clean,"Updates the stock level for a product by its ID, committing changes and returning the count of affected rows."
"def get_user_count_by_status(conn, status):
    """"""
    Retrieves the total number of users with a specific status from the 'users' table using an aggregate query.
    """"""
    cursor = conn.cursor()
    query = ""SELECT COUNT(id) FROM users WHERE status = ?""
    cursor.execute(query, (status,))
    count = cursor.fetchone()[0] # Fetch the single count value
    cursor.close()
    return count",0,clean,"Counts the number of users having a specific status, returning the integer count."
"def get_distinct_product_categories(conn):
    """"""
    Fetches a list of all unique product categories present in the 'products' table.
    """"""
    cursor = conn.cursor()
    query = ""SELECT DISTINCT category FROM products ORDER BY category""
    cursor.execute(query)
    categories = [row[0] for row in cursor.fetchall()] # Extract single column values
    cursor.close()
    return categories",0,clean,Retrieves a list of all distinct product categories from the database.
"def get_user_profile(conn, user_id):
    """"""
    Retrieves a user's profile by their user ID using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""SELECT id, username, email, created_at FROM users WHERE id = ?""
            cursor.execute(sql, (user_id,))
            user_data = cursor.fetchone()
            if user_data:
                # Assuming user_data is a tuple, convert to dict for better readability
                columns = [desc[0] for desc in cursor.description]
                return dict(zip(columns, user_data))
            return None
    except Exception as e:
        # In a real application, log the exception for debugging
        return None",0,clean,"Retrieves a user's profile by their user ID, returning a dictionary if found, otherwise None, using a secure parameterized query."
"def create_new_order(conn, customer_id, total_amount):
    """"""
    Inserts a new order into the database using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""INSERT INTO orders (customer_id, order_date, total_amount, status) VALUES (?, CURRENT_TIMESTAMP, ?, 'pending')""
            cursor.execute(sql, (customer_id, total_amount))
            conn.commit()
            return True
    except Exception as e:
        # In a real application, log the exception and rollback
        conn.rollback()
        return False",0,clean,"Inserts a new order into the database, associating it with a customer and total amount, returning True on success, using a secure parameterized query."
"def update_product_stock(conn, product_id, new_quantity):
    """"""
    Updates the stock quantity of a product by its ID using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""UPDATE products SET stock_quantity = ? WHERE id = ?""
            cursor.execute(sql, (new_quantity, product_id))
            conn.commit()
            return cursor.rowcount > 0 # Check if any row was updated
    except Exception as e:
        # In a real application, log the exception and rollback
        conn.rollback()
        return False",0,clean,"Updates the stock quantity for a product identified by its ID, returning True on success, using a secure parameterized query."
"def delete_item_from_cart(conn, user_id, item_id):
    """"""
    Deletes a specific item from a user's shopping cart using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""DELETE FROM shopping_cart WHERE user_id = ? AND item_id = ?""
            cursor.execute(sql, (user_id, item_id))
            conn.commit()
            return cursor.rowcount > 0 # Check if any row was deleted
    except Exception as e:
        # In a real application, log the exception and rollback
        conn.rollback()
        return False",0,clean,"Deletes a specific item from a user's shopping cart based on user ID and item ID, returning True on success, using a secure parameterized query."
"def find_products_by_category(conn, category_name):
    """"""
    Retrieves a list of products by category name using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""SELECT id, name, price, description FROM products WHERE category = ?""
            cursor.execute(sql, (category_name,))
            products_data = cursor.fetchall()
            if products_data:
                columns = [desc[0] for desc in cursor.description]
                return [dict(zip(columns, row)) for row in products_data]
            return []
    except Exception as e:
        # In a real application, log the exception
        return []",0,clean,"Retrieves a list of products belonging to a specified category, returning a list of dictionaries, using a secure parameterized query."
"def get_recent_transactions(conn, account_id, limit=10):
    """"""
    Fetches recent transactions for an account using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""SELECT id, amount, type, transaction_date FROM transactions WHERE account_id = ? ORDER BY transaction_date DESC LIMIT ?""
            cursor.execute(sql, (account_id, limit))
            transactions = cursor.fetchall()
            if transactions:
                columns = [desc[0] for desc in cursor.description]
                return [dict(zip(columns, row)) for row in transactions]
            return []
    except Exception as e:
        # In a real application, log the exception
        return []",0,clean,"Fetches the most recent transactions for a given account, limited by a specified count, returning a list of dictionaries, using a secure parameterized query."
"def bulk_insert_sensor_data(conn, sensor_readings):
    """"""
    Inserts multiple sensor readings into the database using executemany for efficiency and security.
    `sensor_readings` should be a list of tuples, e.g., [(sensor_id, value, timestamp), ...].
    Assumes `conn` is an active database connection object.
    """"""
    try:
        if not sensor_readings:
            return False
        with conn.cursor() as cursor:
            sql = ""INSERT INTO sensor_data (sensor_id, value, timestamp) VALUES (?, ?, ?)""
            cursor.executemany(sql, sensor_readings)
            conn.commit()
            return True
    except Exception as e:
        # In a real application, log the exception and rollback
        conn.rollback()
        return False",0,clean,"Inserts multiple sensor readings in a single batch operation using `executemany`, returning True on success, demonstrating efficient and secure bulk inserts."
"def toggle_feature_flag(conn, flag_name, is_enabled):
    """"""
    Toggles the status of a feature flag using a parameterized query.
    `is_enabled` should be a boolean (or 0/1 for DB compatibility).
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""UPDATE feature_flags SET enabled = ? WHERE name = ?""
            # Convert boolean to integer if the database expects 0/1
            db_enabled_value = 1 if is_enabled else 0
            cursor.execute(sql, (db_enabled_value, flag_name))
            conn.commit()
            return cursor.rowcount > 0
    except Exception as e:
        # In a real application, log the exception and rollback
        conn.rollback()
        return False",0,clean,"Toggles the status of a specific feature flag by its name, setting it to an enabled/disabled boolean value, returning True on success, using a secure parameterized query."
"def get_users_by_roles(conn, roles):
    """"""
    Retrieves users by a list of roles using a parameterized query with a dynamic IN clause.
    `roles` should be a list of strings, e.g., ['admin', 'editor'].
    Assumes `conn` is an active database connection object.
    """"""
    if not roles:
        return []
    
    placeholders = ', '.join(['?'] * len(roles))
    sql = f""SELECT id, username, email FROM users WHERE role IN ({placeholders})""
    
    try:
        with conn.cursor() as cursor:
            cursor.execute(sql, tuple(roles))
            users_data = cursor.fetchall()
            if users_data:
                columns = [desc[0] for desc in cursor.description]
                return [dict(zip(columns, row)) for row in users_data]
            return []
    except Exception as e:
        # In a real application, log the exception
        return []",0,clean,"Retrieves users who have any of the specified roles using a dynamically constructed parameterized query for the IN clause, returning a list of dictionaries."
"def check_username_availability(conn, username):
    """"""
    Checks if a username already exists in the database using a parameterized query.
    Assumes `conn` is an active database connection object.
    """"""
    try:
        with conn.cursor() as cursor:
            sql = ""SELECT 1 FROM users WHERE username = ?""
            cursor.execute(sql, (username,))
            result = cursor.fetchone()
            return result is not None # True if a row was found, False otherwise
    except Exception as e:
        # In a real application, log the exception
        return False # Assume unavailable or error occurred",0,clean,"Checks if a given username already exists in the `users` table, returning a boolean indicating availability, using a secure parameterized query."
"def validate_email_address(email_input: str) -> bool:
    """"""
    Validates if a string represents a basic email address format.
    Checks for presence of '@', at least one '.' after '@', and length constraints.
    """"""
    if not isinstance(email_input, str):
        return False
    trimmed_email = email_input.strip()
    if len(trimmed_email) < 5 or len(trimmed_email) > 254:
        return False
    if trimmed_email.count('@') != 1:
        return False
    parts = trimmed_email.split('@')
    local_part = parts[0]
    domain_part = parts[1]
    if not local_part or not domain_part:
        return False
    if '.' not in domain_part or domain_part.startswith('.') or domain_part.endswith('.'):
        return False
    if ' ' in local_part or ' ' in domain_part:
        return False
    return True",0,clean,"This function validates if a string has a basic email address format, including checks for '@', '.', and length."
"def sanitize_for_html(text_input: str) -> str:
    """"""
    Escapes special HTML characters in a string to prevent XSS vulnerabilities.
    Replaces characters like '<', '>', '&', '""', and ""'"" with their HTML entities.
    """"""
    if not isinstance(text_input, str):
        return """"
    sanitized_text = text_input.replace('&', '&amp;')
    sanitized_text = sanitized_text.replace('<', '&lt;')
    sanitized_text = sanitized_text.replace('>', '&gt;')
    sanitized_text = sanitized_text.replace('""', '&quot;')
    sanitized_text = sanitized_text.replace(""'"", '&#x27;')
    return sanitized_text",0,clean,This function sanitizes a string by escaping special HTML characters to prevent cross-site scripting (XSS) attacks.
"def validate_username(username: str) -> bool:
    """"""
    Validates a username string, ensuring it is alphanumeric,
    between 3 and 20 characters long, and does not contain spaces.
    """"""
    if not isinstance(username, str):
        return False
    trimmed_username = username.strip()
    if not (3 <= len(trimmed_username) <= 20):
        return False
    if not trimmed_username.isalnum():
        return False
    return True",0,clean,"This function validates a username, checking for alphanumeric characters, length constraints, and absence of spaces."
"def validate_password_strength(password: str) -> bool:
    """"""
    Validates password strength, requiring a minimum length (8 characters),
    at least one uppercase letter, one lowercase letter, and one digit.
    """"""
    if not isinstance(password, str):
        return False
    if len(password) < 8:
        return False

    has_upper = False
    has_lower = False
    has_digit = False

    for char in password:
        if char.isupper():
            has_upper = True
        elif char.islower():
            has_lower = True
        elif char.isdigit():
            has_digit = True
        if has_upper and has_lower and has_digit:
            break

    return has_upper and has_lower and has_digit",0,clean,"This function validates password strength by checking for minimum length, presence of uppercase, lowercase, and digit characters."
"def sanitize_filename(filename_input: str) -> str:
    """"""
    Sanitizes a filename string by replacing invalid characters with underscores.
    Removes path separators and other characters generally disallowed in filenames.
    Limits the length to prevent abuse.
    """"""
    if not isinstance(filename_input, str):
        return ""invalid_filename""

    filename = filename_input.strip()
    if not filename:
        return ""empty_filename""

    invalid_chars = '<>:""/\\|?*'
    sanitized_chars = []
    for char in filename:
        if char in invalid_chars:
            sanitized_chars.append('_')
        elif char == '\0':
            continue
        else:
            sanitized_chars.append(char)
    
    sanitized_name = """".join(sanitized_chars)
    if len(sanitized_name) > 200:
        sanitized_name = sanitized_name[:200]
    
    if not sanitized_name:
        return ""sanitized_empty""

    return sanitized_name",0,clean,This function sanitizes a filename by replacing characters that are invalid in file paths with underscores and removes null bytes.
"def validate_positive_id(id_string: str, min_val: int = 1, max_val: int = 100000) -> bool:
    """"""
    Validates if a string represents a positive integer ID within a specified range.
    """"""
    if not isinstance(id_string, str):
        return False
    
    trimmed_id_string = id_string.strip()
    if not trimmed_id_string:
        return False

    for char in trimmed_id_string:
        if not char.isdigit():
            return False
            
    try:
        id_value = int(trimmed_id_string)
    except ValueError:
        return False
    
    if id_value < min_val or id_value > max_val:
        return False
        
    return True",0,clean,This function validates if a string represents a positive integer ID within a given numerical range.
"def sanitize_and_validate_url(url_input: str) -> str:
    """"""
    Performs basic validation and sanitization for a URL string.
    Checks for allowed schemes (http/https) and removes potentially malicious
    schemes like 'javascript:'. Returns an empty string if invalid.
    """"""
    if not isinstance(url_input, str):
        return """"
    
    trimmed_url = url_input.strip()
    lower_url = trimmed_url.lower()

    if lower_url.startswith('javascript:') or \
       lower_url.startswith('data:') or \
       lower_url.startswith('file:'):
        return """"

    if trimmed_url.startswith('http://') or trimmed_url.startswith('https://'):
        return trimmed_url
    elif '://' not in trimmed_url:
        return ""https://"" + trimmed_url.replace(' ', '')
    
    return """"",0,clean,This function validates and sanitizes a URL string by ensuring it uses a safe scheme (http/https) and disallowing known malicious schemes.
"def validate_date_format_yyyymmdd(date_string: str) -> bool:
    """"""
    Validates if a string is in YYYY-MM-DD format and its components are numeric.
    Does not check for actual date validity (e.g., 30th February).
    """"""
    if not isinstance(date_string, str):
        return False
    
    trimmed_date = date_string.strip()
    if len(trimmed_date) != 10:
        return False
    
    parts = trimmed_date.split('-')
    if len(parts) != 3:
        return False
        
    year_str, month_str, day_str = parts[0], parts[1], parts[2]
    
    if not (len(year_str) == 4 and year_str.isdigit()):
        return False
    if not (len(month_str) == 2 and month_str.isdigit()):
        return False
    if not (len(day_str) == 2 and day_str.isdigit()):
        return False
        
    month_val = int(month_str)
    day_val = int(day_str)
    if not (1 <= month_val <= 12):
        return False
    if not (1 <= day_val <= 31):
        return False

    return True",0,clean,This function validates if a string adheres to the 'YYYY-MM-DD' date format and checks the numeric range of its components.
"def sanitize_for_sql_string(input_string: str) -> str:
    """"""
    Sanitizes a string for basic SQL insertion by escaping single quotes
    and removing null bytes to prevent simple SQL injection.
    Note: Parameterized queries are the preferred and more secure method.
    """"""
    if not isinstance(input_string, str):
        return """"
    
    sanitized_string = input_string.replace('\0', '') 
    sanitized_string = sanitized_string.replace(""'"", ""''"")
    sanitized_string = sanitized_string.strip()

    return sanitized_string",0,clean,This function performs basic sanitization of a string for SQL insertion by escaping single quotes and removing null bytes.
"def validate_phone_number_basic(phone_number: str) -> bool:
    """"""
    Validates a phone number string to ensure it contains only digits
    (after an optional '+' prefix) and is within a reasonable length (7-15 digits).
    """"""
    if not isinstance(phone_number, str):
        return False
    
    trimmed_number = phone_number.strip()
    if not trimmed_number:
        return False

    if trimmed_number.startswith('+'):
        number_digits = trimmed_number[1:]
    else:
        number_digits = trimmed_number
        
    for char in number_digits:
        if not char.isdigit():
            return False
            
    if not (7 <= len(number_digits) <= 15):
        return False

    return True",0,clean,"This function validates a phone number string, ensuring it contains only digits (optionally preceded by '+') and falls within a reasonable length range."
"def validate_email(email_str: str) -> bool:
    """"""
    Validates if a string is a well-formed email address.
    Checks for presence of '@' and '.', correct positioning, and overall length.
    """"""
    if not isinstance(email_str, str) or not (6 <= len(email_str) <= 254):
        return False
    
    parts = email_str.split('@')
    if len(parts) != 2:
        return False
    
    local_part, domain_part = parts
    if not local_part or not domain_part:
        return False
    
    if not (1 <= len(local_part) <= 64) or not (1 <= len(domain_part) <= 253):
        return False
    
    if '.' not in domain_part or domain_part.startswith('.') or domain_part.endswith('.'):
        return False
    
    # Basic character check (simplistic, real validation is complex without regex)
    allowed_chars = ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789.-_""
    if not all(c in allowed_chars for c in local_part.replace('.', '')) or \
       not all(c in allowed_chars for c in domain_part.replace('.', '')):
        return False

    return True",0,clean,"This function validates if a given string represents a syntactically correct email address by checking for '@' and '.' presence, positioning, and character set."
"def validate_username(username_str: str) -> bool:
    """"""
    Validates if a string is a valid username.
    Must be alphanumeric, optionally containing underscores or hyphens, and within a specific length.
    """"""
    if not isinstance(username_str, str):
        return False
    
    username_length = len(username_str)
    if not (3 <= username_length <= 20):
        return False
    
    allowed_chars = ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789_-""
    
    for char in username_str:
        if char not in allowed_chars:
            return False
            
    # Username cannot start or end with _ or -
    if username_str.startswith('_') or username_str.startswith('-') or \
       username_str.endswith('_') or username_str.endswith('-'):
        return False

    return True",0,clean,"This function validates if a given string is a valid username, ensuring it meets length and allowed character requirements."
"def validate_positive_integer(input_str: str) -> int | None:
    """"""
    Validates if a string represents a positive integer and returns it,
    otherwise returns None.
    """"""
    if not isinstance(input_str, str) or not input_str:
        return None
    
    # Check if all characters are digits
    if not input_str.isdigit():
        return None
    
    # Convert to integer
    num_val = int(input_str)
    
    # Ensure it's a positive integer
    if num_val > 0:
        return num_val
    else:
        return None",0,clean,"This function validates if a string represents a positive integer, returning the integer value or None if invalid."
"def sanitize_html_input(user_input: str) -> str:
    """"""
    Performs basic sanitization of user input by escaping common HTML characters
    to prevent XSS vulnerabilities.
    """"""
    if not isinstance(user_input, str):
        return """" # Return empty string for invalid input type for safety
        
    sanitized_input = user_input.replace(""&"", ""&amp;"")
    sanitized_input = sanitized_input.replace(""<"", ""&lt;"")
    sanitized_input = sanitized_input.replace("">"", ""&gt;"")
    sanitized_input = sanitized_input.replace('""', ""&quot;"")
    sanitized_input = sanitized_input.replace(""'"", ""&#x27;"")
    sanitized_input = sanitized_input.replace(""/"", ""&#x2F;"")
    
    return sanitized_input",0,clean,This function sanitizes user input by escaping HTML special characters to prevent basic cross-site scripting (XSS) attacks.
"def validate_password_strength(password_str: str) -> bool:
    """"""
    Validates if a password string meets basic strength requirements:
    minimum length, presence of uppercase, lowercase, and a digit.
    """"""
    if not isinstance(password_str, str):
        return False
    
    if len(password_str) < 8:
        return False
    
    has_lower = False
    has_upper = False
    has_digit = False
    
    for char in password_str:
        if 'a' <= char <= 'z':
            has_lower = True
        elif 'A' <= char <= 'Z':
            has_upper = True
        elif '0' <= char <= '9':
            has_digit = True
            
    return has_lower and has_upper and has_digit",0,clean,This function validates if a password string meets minimum strength criteria including length and the presence of different character types.
"def validate_url(url_str: str) -> bool:
    """"""
    Performs a basic validation of a URL string, checking for scheme,
    domain presence, and overall length.
    """"""
    if not isinstance(url_str, str) or not (10 <= len(url_str) <= 2048):
        return False
    
    url_lower = url_str.lower()
    
    if not (url_lower.startswith(""http://"") or url_lower.startswith(""https://"")):
        return False
        
    # Find where the domain part starts after the scheme
    scheme_end = url_lower.find(""://"") + 3
    if scheme_end == 2: # ""://"" not found (find returns -1 then +3 = 2)
        return False
    
    domain_and_path = url_str[scheme_end:]
    domain_part = domain_and_path.split('/', 1)[0] # Split only on first slash
    
    if not domain_part or '.' not in domain_part:
        return False
    
    # Domain part cannot start or end with a hyphen or dot
    if domain_part.startswith('-') or domain_part.endswith('-') or \
       domain_part.startswith('.') or domain_part.endswith('.'):
        return False
    
    # Check for general 'bad' characters in the domain (very basic)
    forbidden_chars_in_domain = "" <>{}[]|\\^`""
    if any(c in forbidden_chars_in_domain for c in domain_part):
        return False
    
    return True",0,clean,"This function performs a basic validation of a URL string by checking its scheme, domain structure, and overall length."
"def validate_us_phone_number(phone_str: str) -> str | None:
    """"""
    Validates if a string is a 10-digit US phone number, optionally with
    separators, and returns the sanitized digits or None.
    """"""
    if not isinstance(phone_str, str) or not phone_str:
        return None
        
    digits_only = """"
    for char in phone_str:
        if '0' <= char <= '9':
            digits_only += char
            
    if len(digits_only) == 10:
        return digits_only
    else:
        return None",0,clean,"This function validates if a string represents a 10-digit US phone number, sanitizing and returning only the digits if valid."
"def validate_filename(filename: str) -> bool:
    """"""
    Validates a filename string for common security and OS-specific issues,
    such as forbidden characters and path traversal attempts.
    """"""
    if not isinstance(filename, str) or not (1 <= len(filename) <= 255):
        return False
    
    # Forbid common directory traversal elements and reserved names (e.g., Windows)
    if filename in (""."", "".."", ""CON"", ""PRN"", ""AUX"", ""NUL"", ""COM1"", ""LPT1""):
        return False
        
    # Forbid common path separators and other dangerous characters
    forbidden_chars = '/\\:*?""<>|'
    for char in filename:
        if char in forbidden_chars:
            return False
            
    # Cannot start or end with space, or have control characters
    if filename.strip() != filename or any(ord(c) < 32 for c in filename):
        return False

    return True",0,clean,"This function validates a filename string, checking for forbidden characters, reserved names, and path traversal attempts."
"def validate_decimal_amount(amount_str: str) -> float | None:
    """"""
    Validates if a string represents a positive decimal number (e.g., currency),
    and returns it as a float or None.
    """"""
    if not isinstance(amount_str, str) or not amount_str:
        return None
    
    # Allow only digits and one decimal point
    decimal_points = amount_str.count('.')
    if decimal_points > 1:
        return None
        
    # Check if all characters (excluding potential single decimal point) are digits
    if not amount_str.replace('.', '', 1).isdigit():
        return None
        
    try:
        amount_val = float(amount_str)
        if amount_val > 0: # Must be positive
            return amount_val
        else:
            return None
    except ValueError: # Defensive catch, primarily handled by isdigit() check
        return None",0,clean,"This function validates if a string represents a positive decimal number, returning it as a float or None."
"def validate_iso_date_string(date_str: str) -> bool:
    """"""
    Validates if a string is a valid date in 'YYYY-MM-DD' format,
    performing basic structural and range checks without imports.
    """"""
    if not isinstance(date_str, str) or len(date_str) != 10:
        return False
        
    if date_str[4] != '-' or date_str[7] != '-':
        return False
        
    year_str = date_str[0:4]
    month_str = date_str[5:7]
    day_str = date_str[8:10]
    
    if not (year_str.isdigit() and month_str.isdigit() and day_str.isdigit()):
        return False
        
    year = int(year_str)
    month = int(month_str)
    day = int(day_str)
    
    # Basic range checks for common dates
    if not (1000 <= year <= 9999): # Standard 4-digit year range
        return False
    if not (1 <= month <= 12):
        return False
    if not (1 <= day <= 31): # Simplistic max day, doesn't validate specific month/leap year
        return False
        
    return True",0,clean,This function validates if a string is a date in 'YYYY-MM-DD' format by checking its structure and basic numerical ranges.
